task_id,language,objective,prompt_detail,variant,repetition_index,runtime_milliseconds,peak_memory_bytes,returncode,stdout,stderr,correctness_pass,compile_error,test_error,timeout,source_path
2,cpp,,,before,4,27.379969134926796,1241088,0,,,1,0,0,0,generated_code/baseline/cpp/2.cpp
2,cpp,,,before,5,27.341360226273537,1236992,0,,,1,0,0,0,generated_code/baseline/cpp/2.cpp
2,cpp,,,before,6,27.52944128587842,1245184,0,,,1,0,0,0,generated_code/baseline/cpp/2.cpp
2,cpp,,,before,7,27.085717767477036,1310720,0,,,1,0,0,0,generated_code/baseline/cpp/2.cpp
2,cpp,,,before,8,27.60166022926569,1155072,0,,,1,0,0,0,generated_code/baseline/cpp/2.cpp
2,cpp,,,before,9,27.569150552153587,1155072,0,,,1,0,0,0,generated_code/baseline/cpp/2.cpp
2,cpp,,,before,10,27.073657605797052,1236992,0,,,1,0,0,0,generated_code/baseline/cpp/2.cpp
3,cpp,,,before,1,27.30425912886858,3092480,0,,,1,0,0,0,generated_code/baseline/cpp/3.cpp
3,cpp,,,before,2,27.527139987796545,2965504,0,,,1,0,0,0,generated_code/baseline/cpp/3.cpp
3,cpp,,,before,3,27.389289811253548,3026944,0,,,1,0,0,0,generated_code/baseline/cpp/3.cpp
3,cpp,,,before,4,27.05327793955803,2957312,0,,,1,0,0,0,generated_code/baseline/cpp/3.cpp
3,cpp,,,before,5,27.77634095400572,2895872,0,,,1,0,0,0,generated_code/baseline/cpp/3.cpp
3,cpp,,,before,6,27.426968794316053,2957312,0,,,1,0,0,0,generated_code/baseline/cpp/3.cpp
3,cpp,,,before,7,27.361609041690826,2961408,0,,,1,0,0,0,generated_code/baseline/cpp/3.cpp
3,cpp,,,before,8,27.59225107729435,2953216,0,,,1,0,0,0,generated_code/baseline/cpp/3.cpp
3,cpp,,,before,9,27.094438206404448,2965504,0,,,1,0,0,0,generated_code/baseline/cpp/3.cpp
3,cpp,,,before,10,27.437558863312006,2961408,0,,,1,0,0,0,generated_code/baseline/cpp/3.cpp
3,cpp,runtime,minimal,after,1,27.498260140419006,2957312,0,,,1,0,0,0,generated_code/optimized/runtime/minimal/cpp/3.cpp
3,cpp,runtime,minimal,after,2,27.47392002493143,2957312,0,,,1,0,0,0,generated_code/optimized/runtime/minimal/cpp/3.cpp
3,cpp,runtime,minimal,after,3,27.79405191540718,2957312,0,,,1,0,0,0,generated_code/optimized/runtime/minimal/cpp/3.cpp
3,cpp,runtime,minimal,after,4,27.587030082941055,2969600,0,,,1,0,0,0,generated_code/optimized/runtime/minimal/cpp/3.cpp
3,cpp,runtime,minimal,after,5,27.60791126638651,2961408,0,,,1,0,0,0,generated_code/optimized/runtime/minimal/cpp/3.cpp
3,cpp,runtime,minimal,after,6,27.665510773658752,2965504,0,,,1,0,0,0,generated_code/optimized/runtime/minimal/cpp/3.cpp
3,cpp,runtime,minimal,after,7,27.669651433825493,3117056,0,,,1,0,0,0,generated_code/optimized/runtime/minimal/cpp/3.cpp
3,cpp,runtime,minimal,after,8,27.249479200690985,3055616,0,,,1,0,0,0,generated_code/optimized/runtime/minimal/cpp/3.cpp
3,cpp,runtime,minimal,after,9,27.50380989164114,3043328,0,,,1,0,0,0,generated_code/optimized/runtime/minimal/cpp/3.cpp
3,cpp,runtime,minimal,after,10,27.508459985256195,2895872,0,,,1,0,0,0,generated_code/optimized/runtime/minimal/cpp/3.cpp
3,cpp,runtime,detailed,after,1,27.79024001210928,2969600,0,,,1,0,0,0,generated_code/optimized/runtime/detailed/cpp/3.cpp
3,cpp,runtime,detailed,after,2,27.72241085767746,3084288,0,,,1,0,0,0,generated_code/optimized/runtime/detailed/cpp/3.cpp
3,cpp,runtime,detailed,after,3,27.655379846692085,3084288,0,,,1,0,0,0,generated_code/optimized/runtime/detailed/cpp/3.cpp
3,cpp,runtime,detailed,after,4,27.500201016664505,2899968,0,,,1,0,0,0,generated_code/optimized/runtime/detailed/cpp/3.cpp
3,cpp,runtime,detailed,after,5,27.730401139706373,3026944,0,,,1,0,0,0,generated_code/optimized/runtime/detailed/cpp/3.cpp
3,cpp,runtime,detailed,after,6,27.29313774034381,2969600,0,,,1,0,0,0,generated_code/optimized/runtime/detailed/cpp/3.cpp
3,cpp,runtime,detailed,after,7,28.10697164386511,2953216,0,,,1,0,0,0,generated_code/optimized/runtime/detailed/cpp/3.cpp
3,cpp,runtime,detailed,after,8,27.50180009752512,2957312,0,,,1,0,0,0,generated_code/optimized/runtime/detailed/cpp/3.cpp
3,cpp,runtime,detailed,after,9,27.509009931236506,2953216,0,,,1,0,0,0,generated_code/optimized/runtime/detailed/cpp/3.cpp
3,cpp,runtime,detailed,after,10,27.484340127557516,2965504,0,,,1,0,0,0,generated_code/optimized/runtime/detailed/cpp/3.cpp
3,cpp,memory,minimal,after,1,27.262159157544374,2977792,0,,,1,0,0,0,generated_code/optimized/memory/minimal/cpp/3.cpp
3,cpp,memory,minimal,after,2,27.89684198796749,3088384,0,,,1,0,0,0,generated_code/optimized/memory/minimal/cpp/3.cpp
3,cpp,memory,minimal,after,3,27.57286000996828,2961408,0,,,1,0,0,0,generated_code/optimized/memory/minimal/cpp/3.cpp
3,cpp,memory,minimal,after,4,27.55420980975032,2977792,0,,,1,0,0,0,generated_code/optimized/memory/minimal/cpp/3.cpp
3,cpp,memory,minimal,after,5,27.643020264804363,2961408,0,,,1,0,0,0,generated_code/optimized/memory/minimal/cpp/3.cpp
3,cpp,memory,minimal,after,6,27.962891850620508,3039232,0,,,1,0,0,0,generated_code/optimized/memory/minimal/cpp/3.cpp
3,cpp,memory,minimal,after,7,27.482150122523308,2899968,0,,,1,0,0,0,generated_code/optimized/memory/minimal/cpp/3.cpp
3,cpp,memory,minimal,after,8,27.654831297695637,3121152,0,,,1,0,0,0,generated_code/optimized/memory/minimal/cpp/3.cpp
3,cpp,memory,minimal,after,9,27.48170029371977,3084288,0,,,1,0,0,0,generated_code/optimized/memory/minimal/cpp/3.cpp
3,cpp,memory,minimal,after,10,27.259777765721083,2899968,0,,,1,0,0,0,generated_code/optimized/memory/minimal/cpp/3.cpp
3,cpp,memory,detailed,after,1,28.127812314778566,3043328,0,,,1,0,0,0,generated_code/optimized/memory/detailed/cpp/3.cpp
3,cpp,memory,detailed,after,2,27.54386980086565,2961408,0,,,1,0,0,0,generated_code/optimized/memory/detailed/cpp/3.cpp
3,cpp,memory,detailed,after,3,27.264388743788004,3088384,0,,,1,0,0,0,generated_code/optimized/memory/detailed/cpp/3.cpp
3,cpp,memory,detailed,after,4,27.928961906582117,2965504,0,,,1,0,0,0,generated_code/optimized/memory/detailed/cpp/3.cpp
3,cpp,memory,detailed,after,5,27.339029125869274,3043328,0,,,1,0,0,0,generated_code/optimized/memory/detailed/cpp/3.cpp
3,cpp,memory,detailed,after,6,27.842821087688208,3051520,0,,,1,0,0,0,generated_code/optimized/memory/detailed/cpp/3.cpp
3,cpp,memory,detailed,after,7,27.68702106550336,2961408,0,,,1,0,0,0,generated_code/optimized/memory/detailed/cpp/3.cpp
3,cpp,memory,detailed,after,8,27.795810718089342,2899968,0,,,1,0,0,0,generated_code/optimized/memory/detailed/cpp/3.cpp
3,cpp,memory,detailed,after,9,27.575079817324877,3031040,0,,,1,0,0,0,generated_code/optimized/memory/detailed/cpp/3.cpp
3,cpp,memory,detailed,after,10,27.845722157508135,2969600,0,,,1,0,0,0,generated_code/optimized/memory/detailed/cpp/3.cpp
3,cpp,balanced,minimal,after,1,27.63462020084262,3117056,0,,,1,0,0,0,generated_code/optimized/balanced/minimal/cpp/3.cpp
3,cpp,balanced,minimal,after,2,27.51351986080408,2961408,0,,,1,0,0,0,generated_code/optimized/balanced/minimal/cpp/3.cpp
3,cpp,balanced,minimal,after,3,27.62152999639511,2977792,0,,,1,0,0,0,generated_code/optimized/balanced/minimal/cpp/3.cpp
3,cpp,balanced,minimal,after,4,27.64284983277321,2969600,0,,,1,0,0,0,generated_code/optimized/balanced/minimal/cpp/3.cpp
3,cpp,balanced,minimal,after,5,27.714510913938284,2953216,0,,,1,0,0,0,generated_code/optimized/balanced/minimal/cpp/3.cpp
3,cpp,balanced,minimal,after,6,27.62856101617217,2973696,0,,,1,0,0,0,generated_code/optimized/balanced/minimal/cpp/3.cpp
3,cpp,balanced,minimal,after,7,27.691770810633898,3031040,0,,,1,0,0,0,generated_code/optimized/balanced/minimal/cpp/3.cpp
3,cpp,balanced,minimal,after,8,27.70754136145115,2957312,0,,,1,0,0,0,generated_code/optimized/balanced/minimal/cpp/3.cpp
3,cpp,balanced,minimal,after,9,27.776361908763647,2899968,0,,,1,0,0,0,generated_code/optimized/balanced/minimal/cpp/3.cpp
3,cpp,balanced,minimal,after,10,27.689760085195303,2961408,0,,,1,0,0,0,generated_code/optimized/balanced/minimal/cpp/3.cpp
3,cpp,balanced,detailed,after,1,27.707010973244905,2899968,0,,,1,0,0,0,generated_code/optimized/balanced/detailed/cpp/3.cpp
3,cpp,balanced,detailed,after,2,27.388749178498983,3026944,0,,,1,0,0,0,generated_code/optimized/balanced/detailed/cpp/3.cpp
3,cpp,balanced,detailed,after,3,27.477798983454704,3026944,0,,,1,0,0,0,generated_code/optimized/balanced/detailed/cpp/3.cpp
3,cpp,balanced,detailed,after,4,27.562350034713745,2924544,0,,,1,0,0,0,generated_code/optimized/balanced/detailed/cpp/3.cpp
3,cpp,balanced,detailed,after,5,27.869592420756817,2969600,0,,,1,0,0,0,generated_code/optimized/balanced/detailed/cpp/3.cpp
3,cpp,balanced,detailed,after,6,27.695211116224527,2953216,0,,,1,0,0,0,generated_code/optimized/balanced/detailed/cpp/3.cpp
3,cpp,balanced,detailed,after,7,27.902461122721434,3043328,0,,,1,0,0,0,generated_code/optimized/balanced/detailed/cpp/3.cpp
3,cpp,balanced,detailed,after,8,27.31913886964321,2957312,0,,,1,0,0,0,generated_code/optimized/balanced/detailed/cpp/3.cpp
3,cpp,balanced,detailed,after,9,27.848731260746717,3031040,0,,,1,0,0,0,generated_code/optimized/balanced/detailed/cpp/3.cpp
3,cpp,balanced,detailed,after,10,27.540639974176884,2957312,0,,,1,0,0,0,generated_code/optimized/balanced/detailed/cpp/3.cpp
4,cpp,,,before,1,27.339628897607327,2990080,0,,,1,0,0,0,generated_code/baseline/cpp/4.cpp
4,cpp,,,before,2,27.96109113842249,2990080,0,,,1,0,0,0,generated_code/baseline/cpp/4.cpp
4,cpp,,,before,3,27.96918200328946,3047424,0,,,1,0,0,0,generated_code/baseline/cpp/4.cpp
4,cpp,,,before,4,27.593220118433237,2973696,0,,,1,0,0,0,generated_code/baseline/cpp/4.cpp
4,cpp,,,before,5,27.637321036309004,3104768,0,,,1,0,0,0,generated_code/baseline/cpp/4.cpp
4,cpp,,,before,6,27.81127067282796,2994176,0,,,1,0,0,0,generated_code/baseline/cpp/4.cpp
4,cpp,,,before,7,27.606820221990347,3047424,0,,,1,0,0,0,generated_code/baseline/cpp/4.cpp
4,cpp,,,before,8,28.089512139558792,2973696,0,,,1,0,0,0,generated_code/baseline/cpp/4.cpp
4,cpp,,,before,9,27.74969022721052,2936832,0,,,1,0,0,0,generated_code/baseline/cpp/4.cpp
4,cpp,,,before,10,27.817361056804657,2981888,0,,,1,0,0,0,generated_code/baseline/cpp/4.cpp
4,cpp,runtime,minimal,after,1,27.864811941981316,3104768,0,,,1,0,0,0,generated_code/optimized/runtime/minimal/cpp/4.cpp
4,cpp,runtime,minimal,after,2,27.615671046078205,2973696,0,,,1,0,0,0,generated_code/optimized/runtime/minimal/cpp/4.cpp
4,cpp,runtime,minimal,after,3,27.741161175072193,2969600,0,,,1,0,0,0,generated_code/optimized/runtime/minimal/cpp/4.cpp
4,cpp,runtime,minimal,after,4,28.256292920559645,2990080,0,,,1,0,0,0,generated_code/optimized/runtime/minimal/cpp/4.cpp
4,cpp,runtime,minimal,after,5,28.104862198233604,2990080,0,,,1,0,0,0,generated_code/optimized/runtime/minimal/cpp/4.cpp
4,cpp,runtime,minimal,after,6,27.962481137365103,2977792,0,,,1,0,0,0,generated_code/optimized/runtime/minimal/cpp/4.cpp
4,cpp,runtime,minimal,after,7,27.817591093480587,2990080,0,,,1,0,0,0,generated_code/optimized/runtime/minimal/cpp/4.cpp
4,cpp,runtime,minimal,after,8,28.053642250597477,2969600,0,,,1,0,0,0,generated_code/optimized/runtime/minimal/cpp/4.cpp
4,cpp,runtime,minimal,after,9,28.118602000176907,3059712,0,,,1,0,0,0,generated_code/optimized/runtime/minimal/cpp/4.cpp
4,cpp,runtime,minimal,after,10,28.120432049036026,2994176,0,,,1,0,0,0,generated_code/optimized/runtime/minimal/cpp/4.cpp
4,cpp,runtime,detailed,after,1,27.994391042739153,2932736,0,,,1,0,0,0,generated_code/optimized/runtime/detailed/cpp/4.cpp
4,cpp,runtime,detailed,after,2,28.16667314618826,3043328,0,,,1,0,0,0,generated_code/optimized/runtime/detailed/cpp/4.cpp
4,cpp,runtime,detailed,after,3,27.886430732905865,3100672,0,,,1,0,0,0,generated_code/optimized/runtime/detailed/cpp/4.cpp
4,cpp,runtime,detailed,after,4,28.379542753100395,3137536,0,,,1,0,0,0,generated_code/optimized/runtime/detailed/cpp/4.cpp
4,cpp,runtime,detailed,after,5,27.822531294077635,3055616,0,,,1,0,0,0,generated_code/optimized/runtime/detailed/cpp/4.cpp
4,cpp,runtime,detailed,after,6,27.8232810087502,2932736,0,,,1,0,0,0,generated_code/optimized/runtime/detailed/cpp/4.cpp
4,cpp,runtime,detailed,after,7,28.141881804913282,2977792,0,,,1,0,0,0,generated_code/optimized/runtime/detailed/cpp/4.cpp
4,cpp,runtime,detailed,after,8,28.033291921019554,2973696,0,,,1,0,0,0,generated_code/optimized/runtime/detailed/cpp/4.cpp
4,cpp,runtime,detailed,after,9,27.7782310731709,2981888,0,,,1,0,0,0,generated_code/optimized/runtime/detailed/cpp/4.cpp
4,cpp,runtime,detailed,after,10,27.931141201406717,3043328,0,,,1,0,0,0,generated_code/optimized/runtime/detailed/cpp/4.cpp
4,cpp,memory,minimal,after,1,27.6799900457263,2985984,0,,,1,0,0,0,generated_code/optimized/memory/minimal/cpp/4.cpp
4,cpp,memory,minimal,after,2,28.070551808923483,3100672,0,,,1,0,0,0,generated_code/optimized/memory/minimal/cpp/4.cpp
4,cpp,memory,minimal,after,3,27.911391109228134,2985984,0,,,1,0,0,0,generated_code/optimized/memory/minimal/cpp/4.cpp
4,cpp,memory,minimal,after,4,27.874261140823364,3055616,0,,,1,0,0,0,generated_code/optimized/memory/minimal/cpp/4.cpp
4,cpp,memory,minimal,after,5,27.510999236255884,3133440,0,,,1,0,0,0,generated_code/optimized/memory/minimal/cpp/4.cpp
4,cpp,memory,minimal,after,6,27.906720992177725,2994176,0,,,1,0,0,0,generated_code/optimized/memory/minimal/cpp/4.cpp
4,cpp,memory,minimal,after,7,28.1102922745049,3108864,0,,,1,0,0,0,generated_code/optimized/memory/minimal/cpp/4.cpp
4,cpp,memory,minimal,after,8,27.573710307478905,2990080,0,,,1,0,0,0,generated_code/optimized/memory/minimal/cpp/4.cpp
4,cpp,memory,minimal,after,9,27.91902096942067,2977792,0,,,1,0,0,0,generated_code/optimized/memory/minimal/cpp/4.cpp
4,cpp,memory,minimal,after,10,27.98193134367466,3104768,0,,,1,0,0,0,generated_code/optimized/memory/minimal/cpp/4.cpp
4,cpp,memory,detailed,after,1,28.850064612925053,2936832,0,,,1,0,0,0,generated_code/optimized/memory/detailed/cpp/4.cpp
4,cpp,memory,detailed,after,2,28.080301824957132,2973696,0,,,1,0,0,0,generated_code/optimized/memory/detailed/cpp/4.cpp
4,cpp,memory,detailed,after,3,27.791881002485752,3059712,0,,,1,0,0,0,generated_code/optimized/memory/detailed/cpp/4.cpp
4,cpp,memory,detailed,after,4,28.074372094124556,2969600,0,,,1,0,0,0,generated_code/optimized/memory/detailed/cpp/4.cpp
4,cpp,memory,detailed,after,5,27.814651373773813,3108864,0,,,1,0,0,0,generated_code/optimized/memory/detailed/cpp/4.cpp
4,cpp,memory,detailed,after,6,27.807930950075388,3100672,0,,,1,0,0,0,generated_code/optimized/memory/detailed/cpp/4.cpp
4,cpp,memory,detailed,after,7,27.980581857264042,2977792,0,,,1,0,0,0,generated_code/optimized/memory/detailed/cpp/4.cpp
4,cpp,memory,detailed,after,8,27.659190818667412,3137536,0,,,1,0,0,0,generated_code/optimized/memory/detailed/cpp/4.cpp
4,cpp,memory,detailed,after,9,27.8360596857965,2969600,0,,,1,0,0,0,generated_code/optimized/memory/detailed/cpp/4.cpp
4,cpp,memory,detailed,after,10,27.795970905572176,2932736,0,,,1,0,0,0,generated_code/optimized/memory/detailed/cpp/4.cpp
4,cpp,balanced,minimal,after,1,27.902240864932537,2977792,0,,,1,0,0,0,generated_code/optimized/balanced/minimal/cpp/4.cpp
